attack,expected,ber,ecc_pressure,rms,peak,zcr,centroid,hf_ratio,lf_ratio,flatness,edge_ratio,column_shift_pressure
clean,PROTECTED DERIVATIVE,0.035,0.035,0.05613655969500542,1.006135106086731,0.09257033297054496,329.4498275403848,0.001972779458605283,0.9757621031509145,0.21735119943926043,0.000493465947264051,0.4973521041949244
noise,GAUSSIAN NOISE,0.08,0.08,0.056138452142477036,1.0055468082427979,0.11192000701692834,330.1611895167844,0.0020150386908063434,0.9757089666826172,0.3274321903282242,0.0006434433282557917,0.49429121071525406
crop,CROPPING,0.14,0.14,0.05613655969500542,1.006135106086731,0.09167098018335432,329.45268097015196,0.001972796195508047,0.9757618913814352,0.21734806039708263,0.0004037628486695376,0.4973434299609343
lowpass,LOWPASS FILTER,0.16,0.16,0.0561300590634346,1.0047608613967896,0.0869444365517727,327.03223481696267,0.0017867360210131287,0.9759505845057931,0.022005065250120127,0.0004928350326133346,0.4964498190045912
resample,RESAMPLING,0.12,0.12,0.056136101484298706,1.005288004875183,0.09497560752639687,329.21498893039256,0.0019591198206460143,0.9757754580517899,0.021426057011810436,0.0004930916317453091,0.4971463096779787
gain,AMPLITUDE SCALING,0.04,0.04,0.05352889001369476,0.9593978524208069,0.09257033297054496,329.44982754038483,0.0019727794586052835,0.9757621031509146,0.21735119944034473,0.000493465958474112,0.49735210419479553
compression,COMPRESSION,0.11,0.11,0.05682828277349472,0.8125,0.09257033297054496,521.1247478478863,0.012008947043520037,0.9590549086566775,0.6838274455647805,0.0,0.5053866507788897
unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04713679850101471,0.700454592704773,0.09257156834525264,296.83036700863727,0.0017309509566128059,0.9832107485098908,0.2116253512643483,0.0016479275387624912,0.49730922615383
