source,seed,attack,expected,ber,ecc_pressure,rms,peak,zcr,centroid,hf_ratio,lf_ratio,flatness,edge_ratio,column_shift_pressure
data\eval_audio\speech3.wav,42,resample,RESAMPLING,0.12,0.12,0.019235923886299133,0.1250859797000885,0.12972732916510687,405.5614218807776,9.25956090818315e-08,0.9998256701284611,0.0008268259844524577,3.1078783349333503,0.17850780565064003
data\eval_audio\speech3.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.019175950437784195,0.12470154464244843,0.014950741607937147,405.5619970709369,1.248968151896711e-07,0.9998256378323472,0.009849967627379963,3.107878015157901,0.1786852283788371
data\eval_audio\speech3.wav,42,compression,COMPRESSION,0.11,0.11,0.021241825073957443,0.125,0.014950741607937147,1046.5763779684207,0.02355172099341745,0.939092801801096,0.6149446541660986,3.314104056671715,0.39623985777997334
data\eval_audio\speech3.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.01457559410482645,0.10708781331777573,0.014950741607937147,390.76258863969093,1.3832759604138747e-07,0.9998437948854146,0.010755542697331113,0.8094972497537515,0.18219450901349754
data\eval_audio\speech4.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.006305443588644266,0.115386962890625,0.08045050038922497,2317.343666687517,0.14284224670572612,0.8435221713936429,0.1660188806765485,4.905118127791452,0.5567081067149807
data\eval_audio\speech4.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.00632472662255168,0.11520358175039291,0.30255087440540634,2372.346308633938,0.14608378576995495,0.8391347922889132,0.5887772526986376,4.8855667823705495,0.5111558770174204
data\eval_audio\speech4.wav,42,crop,CROPPING,0.14,0.14,0.0061183893121778965,0.115386962890625,0.07966604697515164,2208.6496513003185,0.1331998109942703,0.8529688692418567,0.16477245872128976,2.1261675508475424,0.5608961473342569
data\eval_audio\speech4.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.006221290677785873,0.10828913748264313,0.13894230865440224,2015.7252748916267,0.11956297415846205,0.8664424689160531,0.026737683887226586,4.652572123377727,0.5575692797449847
data\eval_audio\speech4.wav,42,resample,RESAMPLING,0.12,0.12,0.006302594672888517,0.11591082066297531,0.17309805067328915,2302.0304968620026,0.142067377167385,0.844284741050107,0.07788412447600092,4.89655794763315,0.5576872276567459
data\eval_audio\speech4.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.005850992631167173,0.10707069933414459,0.08045050038922497,2317.3436666875164,0.14284224670572612,0.8435221713936427,0.16601888068489706,4.9051179769565945,0.5567081067127951
data\eval_audio\speech4.wav,42,compression,COMPRESSION,0.11,0.11,0.006307403091341257,0.125,0.08045050038922497,2832.377132483423,0.14061624605313283,0.8049564370659823,0.7615261284406604,4.813460531761389,0.7617101913017548
data\eval_audio\speech4.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.00443638488650322,0.09651069343090057,0.08045050038922497,2084.8753245582566,0.12104617284683816,0.8667893386487469,0.166773030172111,1.2169784432160233,0.5685284979867681
data\eval_audio\speech5.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.02923247590661049,0.1705474853515625,0.021675861475419913,460.3467702240773,1.4068187386522682e-07,0.9998686376004093,0.008061114363843812,0.554890894413362,0.2636850735352622
data\eval_audio\speech5.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.02923685871064663,0.17150934040546417,0.12776480961388828,463.4111685378275,0.00018879470867507733,0.9996212257750586,0.16099342593577315,0.5553699952463499,0.2807924673798212
data\eval_audio\speech5.wav,42,crop,CROPPING,0.14,0.14,0.02917422726750374,0.1705474853515625,0.021500220429512613,459.74720733888677,1.9028341355656018e-07,0.9998727485391941,0.00827357156002908,0.5996058567118692,0.26484898082558633
data\eval_audio\speech5.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.02923237346112728,0.17056258022785187,0.03345259360350439,460.32335529250895,1.4421621073527538e-09,0.9998719717294161,8.771059057813716e-05,0.5548760356488419,0.2634162766479098
data\eval_audio\speech5.wav,42,resample,RESAMPLING,0.12,0.12,0.029232477769255638,0.17054814100265503,0.049246236451488824,460.3463570585182,1.1673745924962594e-07,0.9998686615441434,0.00022881520818377038,0.5548909271903174,0.2635812605233643
data\eval_audio\speech5.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.027031879872083664,0.1577088087797165,0.021675861475419913,460.3467702240771,1.406818738652272e-07,0.9998686376004089,0.008061114366116054,0.5548909699127061,0.26368507353506737
data\eval_audio\speech5.wav,42,compression,COMPRESSION,0.11,0.11,0.03259953111410141,0.1875,0.021675861475419913,1051.516482262678,0.023368865178954062,0.9391893725241524,0.6277127738591883,0.5649588698542478,0.4102841499674806
data\eval_audio\speech5.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.028726782649755478,0.1916225254535675,0.021677617885878988,432.6720533943302,1.2274556743140788e-07,0.9999222283992726,0.008057333464085464,0.06246731632920569,0.2542334101350694
data\sample_audio\channel_test.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05608765035867691,1.0002334117889404,0.0794382998279123,324.30295579583145,0.0019757700252394537,0.976556055328223,0.21876040786732623,0.000494376062312631,0.5010948794493644
data\sample_audio\channel_test.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.05608952417969704,1.0008527040481567,0.108055754931307,325.01477457860176,0.002018093033480635,0.9765028493436994,0.3298845911387571,0.0006445458616419862,0.49742421882596966
data\sample_audio\channel_test.wav,42,crop,CROPPING,0.14,0.14,0.05608765035867691,1.0002334117889404,0.07845741231001481,324.3057700212766,0.001975786818064087,0.976555848300763,0.21875968031243465,0.00040445903406931066,0.5011157190332115
data\sample_audio\channel_test.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.05608115717768669,1.000744104385376,0.06775041971855693,321.88232616013397,0.0017894530563029281,0.976744742127512,0.022134203999971677,0.0004937604425813656,0.5002090459902162
data\sample_audio\channel_test.wav,42,resample,RESAMPLING,0.12,0.12,0.0560871921479702,1.0007108449935913,0.07648946040068143,324.0677996250222,0.001962095377496998,0.9765694358227953,0.021680735126944958,0.0004940106884172377,0.5008979464607345
data\sample_audio\channel_test.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.05348225310444832,0.9537702798843384,0.0794382998279123,324.30295579583145,0.0019757700252394537,0.9765560553282231,0.21876040786843057,0.0004943760840953413,0.5010948794492259
data\sample_audio\channel_test.wav,42,compression,COMPRESSION,0.11,0.11,0.0567658357322216,0.8125,0.0794382998279123,509.53043182173917,0.011545383547946816,0.9604691218158653,0.6743996957434031,0.0,0.5063361371049612
data\sample_audio\channel_test.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.047108594328165054,0.700454592704773,0.07943953520261998,293.2995047941382,0.0017328302692137124,0.9837572072676404,0.21200678698114994,0.0016505770833372048,0.5004545742376152
data\sample_audio\e2e_watermarked.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.056086670607328415,1.0,0.06886843382900684,324.2816313652971,0.001975642977955619,0.9765594051042056,0.21929212204019075,0.0004943441605590255,0.5010862283226152
data\sample_audio\e2e_watermarked.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.05608854815363884,1.0008268356323242,0.10812493591493703,324.9934350401238,0.002017965661452005,0.9765061921684939,0.3299050403419034,0.0006445887504115819,0.4974228635562105
data\sample_audio\e2e_watermarked.wav,42,crop,CROPPING,0.14,0.14,0.056086670607328415,1.0,0.06823098047984424,324.2844451210454,0.001975659762069035,0.9765591980991979,0.21928932689991382,0.0004044814761371304,0.5011062999608221
data\sample_audio\e2e_watermarked.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.0560801737010479,1.000586748123169,0.07168261741310065,321.86103491820023,0.0017893314278841607,0.976748086332474,0.022224228683544234,0.0004937122909780942,0.5002041235364102
data\sample_audio\e2e_watermarked.wav,42,resample,RESAMPLING,0.12,0.12,0.056086212396621704,1.000551700592041,0.0815915579433976,324.0463680361265,0.001961962865846475,0.9765727909896188,0.021619153115496247,0.000493969187925938,0.500891980216873
data\sample_audio\e2e_watermarked.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.053481318056583405,0.9535477161407471,0.06886843382900684,324.28163136529713,0.00197564297795562,0.9765594051042057,0.21929212204128223,0.0004943442530460893,0.5010862283224766
data\sample_audio\e2e_watermarked.wav,42,compression,COMPRESSION,0.11,0.11,0.05676141381263733,0.8125,0.06886843382900684,509.46567013458025,0.011534667480080321,0.9604723944213303,0.674322845333754,0.0,0.5063301526246272
data\sample_audio\e2e_watermarked.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04710774123668671,0.700454592704773,0.06886966920371453,293.28137189494066,0.0017326632458585208,0.9837598644782937,0.2125001416507658,0.0016499611675153934,0.5004461743691146
data\sample_audio\ecc_recovery.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.056087788194417953,1.0,0.06935764221324792,324.3563521213205,0.001975649000690756,0.9765485621481822,0.2192133038936693,0.0004943245498511959,0.501157876266767
data\sample_audio\ecc_recovery.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.05608966201543808,1.0008268356323242,0.10723546612540782,325.06804774269784,0.002017970847560717,0.9764953954504411,0.3298745907706278,0.0006445631811312149,0.4974826955930266
data\sample_audio\ecc_recovery.wav,42,crop,CROPPING,0.14,0.14,0.056087788194417953,1.0,0.0687201888640853,324.3591666816386,0.0019756657854135833,0.9765483552331885,0.21921051195264774,0.0004044653720738729,0.5011743905065247
data\sample_audio\ecc_recovery.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.05608128756284714,1.0004315376281738,0.07158131668707093,321.9357198057085,0.001789334332495276,0.9767372466966235,0.02222058366048568,0.0004936926652425924,0.50027841918665
data\sample_audio\ecc_recovery.wav,42,resample,RESAMPLING,0.12,0.12,0.056087322533130646,1.0002555847167969,0.07975332037837056,324.12111232700056,0.0019619701315838106,0.9765619466687951,0.021616080098638767,0.0004939496340749161,0.5009640505442633
data\sample_audio\ecc_recovery.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.053482383489608765,0.9535477161407471,0.06935764221324792,324.3563521213205,0.0019756490006907555,0.9765485621481822,0.21921330389476232,0.0004943246031346114,0.5011578762666287
data\sample_audio\ecc_recovery.wav,42,compression,COMPRESSION,0.11,0.11,0.056761838495731354,0.8125,0.06935764221324792,509.8969708437637,0.011555237356690406,0.9604342005256764,0.6746842444837371,0.0,0.5062798718011934
data\sample_audio\ecc_recovery.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04710843414068222,0.700454592704773,0.06935887758795559,293.3347437241447,0.0017326782369174309,0.9837527175285559,0.21245213674651012,0.0016499125010172764,0.5004645438665757
data\sample_audio\output.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05608629807829857,1.0,0.06884313538981134,324.29078163690576,0.0019757703808230102,0.9765583100320077,0.21909269323879868,0.0004897305885655504,0.5010866165664839
data\sample_audio\output.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.056088175624608994,1.0008268356323242,0.10811765679604994,325.0026287635209,0.002018095712735632,0.9765050942645507,0.3299041326289991,0.0006400620912979698,0.4974201085862838
data\sample_audio\output.wav,42,crop,CROPPING,0.14,0.14,0.05608629807829857,1.0,0.06843424454637205,324.2910210682936,0.0019757664576674386,0.9765583447415129,0.21908903153416,0.0004202388751955332,0.5011205798251667
data\sample_audio\output.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.05601769685745239,1.0012518167495728,0.05628240398168268,306.8378836344757,0.0006812344064076184,0.9785525815189438,0.007015693245470871,0.0004896149086073872,0.497979909275739
data\sample_audio\output.wav,42,resample,RESAMPLING,0.12,0.12,0.056082021445035934,1.0005991458892822,0.07105312245601335,322.51117496263424,0.0018488304546655106,0.9766825196685451,0.005644850170424784,0.0004890814490028642,0.5000116266780291
data\sample_audio\output.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.05747760087251663,1.0248063802719116,0.06884313538981134,324.2907816369057,0.0019757703808230102,0.9765583100320077,0.2190926932382535,0.0004897305466395787,0.5010866165665526
data\sample_audio\output.wav,42,compression,COMPRESSION,0.11,0.11,0.055967092514038086,0.8125,0.06884313538981134,369.7243690529334,0.00438039606262198,0.9727090325523983,0.5692162118796739,0.0,0.49250503722774375
data\sample_audio\output.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04574648290872574,0.674675464630127,0.06884437070958002,294.31965655401325,0.001740599830656366,0.9831488199692036,0.21330872963524483,0.0014296899823188951,0.5003316743480878
data\sample_audio\real_pipeline.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05608665570616722,1.0,0.06925139998838747,324.27569741738796,0.001975653506930801,0.9765600391751892,0.21927893204296417,0.0004943444452994555,0.5010866275644089
data\sample_audio\real_pipeline.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.056088533252477646,1.0008268356323242,0.10813234816318311,324.98750762383077,0.0020179771218000247,0.9765068242585437,0.329905077273672,0.0006445890752612243,0.4974233415019437
data\sample_audio\real_pipeline.wav,42,crop,CROPPING,0.14,0.14,0.05608665570616722,1.0,0.06861394663922488,324.2785112074085,0.001975670291497301,0.9765598322298339,0.2192760518823919,0.00040448162174933885,0.5011067979182107
data\sample_audio\real_pipeline.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.056080158799886703,1.0006052255630493,0.07067702240104957,321.85508096726903,0.00178934022278658,0.9767487219171164,0.022224287683238156,0.0004937124687545684,0.5002046019869006
data\sample_audio\real_pipeline.wav,42,resample,RESAMPLING,0.12,0.12,0.05608619749546051,1.000566840171814,0.08047477920765538,324.0404414861236,0.001961973793313331,0.9765734246795141,0.02161905047164807,0.0004939694744034527,0.5008925192557818
data\sample_audio\real_pipeline.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.05348130688071251,0.9535477161407471,0.06925139998838747,324.27569741738796,0.001975653506930801,0.9765600391751893,0.21927893204405594,0.0004943444879150365,0.5010866275642705
data\sample_audio\real_pipeline.wav,42,compression,COMPRESSION,0.11,0.11,0.056761499494314194,0.8125,0.06925139998838747,509.513915038137,0.011537811212068481,0.9604676678465566,0.6744271682382219,0.0,0.5063512297289579
data\sample_audio\real_pipeline.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04710772633552551,0.700454592704773,0.06925263536309516,293.27856705386574,0.0017326686457129902,0.983760174042063,0.2124922567747731,0.0016499621779229384,0.5004463234607857
data\sample_audio\reconstructed.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05608667433261871,1.0,0.06886843382900684,324.2815458356652,0.0019756424274818612,0.9765594113757559,0.21929293483322612,0.0004943440537814488,0.5010860211151504
data\sample_audio\reconstructed.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.05608855187892914,1.0008268356323242,0.1081274066643524,324.99334854197065,0.002017965167891416,0.9765061984164147,0.32990468856068694,0.0006445886575974586,0.4974226905986476
data\sample_audio\reconstructed.wav,42,crop,CROPPING,0.14,0.14,0.05608667433261871,1.0,0.06823098047984424,324.28435958449535,0.0019756592115339495,0.9765592043712308,0.2192901355466668,0.0004044813887698557,0.5011060640844709
data\sample_audio\reconstructed.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.056080177426338196,1.000586748123169,0.07168261741310065,321.86094991574674,0.0017893309244473097,0.9767480925573451,0.022224211388364726,0.000493712148757007,0.5002039419769865
data\sample_audio\reconstructed.wav,42,resample,RESAMPLING,0.12,0.12,0.056086216121912,1.000551700592041,0.08159402869281296,324.04628239777867,0.0019619623105904802,0.9765727972659272,0.021619219647899354,0.0004939690803435312,0.5008917916303283
data\sample_audio\reconstructed.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.053481325507164,0.9535477161407471,0.06886843382900684,324.28154583566516,0.0019756424274818612,0.9765594113757559,0.2192929348343174,0.0004943441747564897,0.5010860211150122
data\sample_audio\reconstructed.wav,42,compression,COMPRESSION,0.11,0.11,0.05676141381263733,0.8125,0.06886843382900684,509.46567013458025,0.011534667480080321,0.9604723944213303,0.674322845333754,0.0,0.5063301526246272
data\sample_audio\reconstructed.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04710774123668671,0.700454592704773,0.06886966920371453,293.28135803264786,0.001732663158710522,0.9837598652550902,0.21250043979672772,0.0016499611675153934,0.5004461911723582
data\sample_audio\speech.wav,42,clean,PROTECTED DERIVATIVE,0.035,0.035,0.05608630180358887,1.0,0.06884313538981134,324.2905246929313,0.001975776284987344,0.9765583435255921,0.21877010376567302,0.0004895396703934521,0.501093006407424
data\sample_audio\speech.wav,42,noise,GAUSSIAN NOISE,0.08,0.08,0.056088175624608994,1.0008268356323242,0.10807565592391419,325.0023620897671,0.0020181009681231915,0.9765051296358137,0.3298930596457459,0.0006398068078565392,0.49742061840332985
data\sample_audio\speech.wav,42,crop,CROPPING,0.14,0.14,0.05608630180358887,1.0,0.06843424454637205,324.29076437731993,0.0019757723760927483,0.9765583782221775,0.21876768639374206,0.00042013377165034496,0.5011261910409337
data\sample_audio\speech.wav,42,lowpass,LOWPASS FILTER,0.16,0.16,0.05601769685745239,1.0012532472610474,0.05590069017315477,306.8376720044868,0.0006812381895988813,0.9785526157832699,0.006995376795942637,0.0004894460946926319,0.4979824073864303
data\sample_audio\speech.wav,42,resample,RESAMPLING,0.12,0.12,0.05608202889561653,1.0006012916564941,0.07156207420071722,322.51105304053783,0.0018488446072344744,0.9766825450958114,0.005614116821578521,0.0004889059028104297,0.5000151822689064
data\sample_audio\speech.wav,42,gain,AMPLITUDE SCALING,0.04,0.04,0.05747760459780693,1.0248063802719116,0.06884313538981134,324.2905246929313,0.0019757762849873443,0.976558343525592,0.21877010376512443,0.0004895396609592212,0.501093006407493
data\sample_audio\speech.wav,42,compression,COMPRESSION,0.11,0.11,0.05596661567687988,0.8125,0.06884313538981134,369.70109501593186,0.0043796010248535674,0.9727113965458697,0.5692329301448343,0.0,0.4924729058812563
data\sample_audio\speech.wav,42,unknown,UNKNOWN MODIFICATION,0.09,0.09,0.04574648290872574,0.674675464630127,0.06884437070958002,294.3195787120731,0.0017406207778857426,0.9831488334935612,0.21301324180817016,0.0014305846258162683,0.5003366532117418
